콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,SNS공유수,인기점수,등록일시_1,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CNTS_000000000021903,숙박,해피펜션,국문,해피펜션,,제주특별자치도 제주시 외도2동 317-1,제주특별자치도 제주시 월대1길 4,33.49411,126.43378,y,,blog.naver.com/happycho25,759,,0,0,1,0,0,y,y,y,y,y,2019-11-20,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-04-25,anonymous,2022-03-19,0,1518,13355821,63068,n,2017-04-25,2017-04-25,2017-04-25,2017-04-25,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501391,음식점,탐라 뚝배기,국문,탐라 뚝배기,,제주특별자치도 서귀포시 표선면 표선리 879,제주특별자치도 서귀포시 표선면 표선백사로 127,33.32677,126.83669,y,,,2569,,0,0,11,0,0,y,y,y,y,y,2019-09-11,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-11,2019-09-11,2019-09-11,anonymous,2016-05-30,anonymous,2022-03-18,1,5138,9260635,63629,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-09-11,,2019-09-11,,y,
CONT_000000000501399,음식점,토담골,국문,토담골,,제주특별자치도 제주시 아라이동 2425,제주특별자치도 제주시 간월동로 5,33.4859043,126.5434964,y,,,1452,,0,0,4,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-09,2019-09-09,2019-09-09,anonymous,2016-05-30,anonymous,2022-03-22,0,2904,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000018301,음식점,우유부단,국문,우유부단,,제주특별자치도 제주시 한림읍 금악리 142-2,제주특별자치도 제주시 한림읍 금악동길 38,33.34764,126.32826,y,5,,19738,,10,38,225,0,1,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,n,n,n,y,y,y,2018-12-05,2018-12-05,2018-12-05,anonymous,2016-10-06,anonymous,2022-03-22,5,39696,10716980,63021,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,n,n,n,51,y,,y,,n,,y,,,,2019-02-25,,n,
CNTS_000000000020277,관광지,공천포,국문,공천포,,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.26769,126.645996,y,4,,3850,,0,9,19,0,0,y,y,y,y,y,2019-07-15,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-16,anonymous,2022-03-22,1,7745,,,n,2016-11-16,2016-11-16,2016-11-16,2016-11-16,y,n,n,n,18,,,,,,,,,,,,,,
CNTS_000000000022057,음식점,명당양과,국문,명당양과,,제주시 원노형로 83,제주시 원노형로 83,33.481274,126.48501,y,5,https://www.facebook.com/mdang1980/,10153,,20,9,59,0,0,y,y,y,y,y,2018-11-02,y,y,y,y,y,y,y,y,y,y,y,y,2018-11-02,2018-11-06,2018-11-02,anonymous,2017-07-04,anonymous,2022-03-22,6,20411,9378615,,n,2017-07-04,2018-11-02,2018-11-02,2018-11-02,y,y,y,y,,y,,y,,y,,y,,,,2019-02-25,,y,
CONT_000000000500553,관광지,제주민속촌,국문,제주민속촌,,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.32226,126.84201,y,5,,47560,,6,36,449,0,3,y,y,y,y,y,2019-09-03,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,anonymous,2016-05-30,anonymous,2022-03-22,14,95318,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,69,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,2019-09-03,y,y
CONT_000000000500556,관광지,제주빅볼랜드,국문,제주빅볼랜드,,제주특별자치도 제주시 애월읍 어음리 산 3,제주특별자치도 제주시 애월읍 산록서로 15,33.3659432,126.35644,y,5,,36634,,4,2,154,0,1,y,y,y,y,y,2019-07-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-03-22,25,73290,,63041,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-22,,2019-07-22,,y,
CONT_000000000500180,관광지,마오름(맞보기)(안덕),국문,마오름(맞보기)(안덕),,제주특별자치도 서귀포시 안덕면 산록남로,제주특별자치도 서귀포시 안덕면 산록남로,33.325733,126.40013,y,,,900,,0,0,0,0,0,y,y,n,y,y,2019-07-22,y,y,y,y,y,y,n,n,n,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-02-14,0,1800,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
CNTS_000000000020390,숙박,빠담빠담게스트하우스,국문,빠담빠담게스트하우스,,제주특별자치도 서귀포시 표선면 표선리 2093,제주특별자치도 서귀포시 표선면 돈오름로 198-4,33.329624,126.81827,y,5,,3789,,1,5,2,0,0,y,y,y,y,y,2019-06-26,y,y,y,y,y,y,y,y,y,y,y,y,,,,anonymous,2016-11-18,anonymous,2022-03-22,0,7606,8705742,,n,2016-11-18,2016-11-18,2016-11-18,2016-11-18,y,n,y,y,3,y,,y,,y,,y,,,,2020-08-31,,y,
